food_name,protein_g,carbs_g,fat_g,calories
Oriental Radishes,0.6,4.1,0.1,18
"White Sweet Corn (Kernels On Cob, with Salt, Frozen, Drained, Cooked, Boiled)",3.11,22.33,0.74,94
Spinach,2.86,3.63,0.39,23
Mushrooms,3.09,3.28,0.34,22
Soybeans (Mature Seeds),36.49,30.16,19.94,416
Tomatoes,0.88,3.92,0.2,18
"Hawaii Mountain Yam (with Salt, Steamed, Cooked)",1.73,19.99,0.08,82
"White Sweet Corn (Kernels On Cob, Without Salt, Frozen, Drained, Cooked, Boiled)",3.11,22.33,0.74,94
"Mixed Vegetables (Corn, Lima Beans, Peas, Green Beans, Carrots) (No Salt Added, Canned)",1.4,7.31,0.2,37
Kale (Frozen),2.66,4.9,0.46,28
Baby Corn,2.62,18.59,1,81
Cooked Cauliflower (Fat Not Added in Cooking),1.75,3.96,0.37,22
Cucumber (Peeled),0.59,2.16,0.16,12
Scallions or Spring Onions,1.83,7.34,0.19,32
Olives,0.92,5.4,11.27,117
Pumpkin,1,6.5,0.1,26
Sweet Potato (Frozen),1.71,22.22,0.18,96
Zucchini,1.21,3.35,0.18,16
Crushed Tomatoes (Canned),1.64,7.29,0.28,32
Chinese Cabbage,1.5,2.18,0.2,13
Asparagus,2.2,3.88,0.12,20
Cooked Eggplant,0.79,8.31,3.85,65
"Cooked Cauliflower (from Frozen, Fat Not Added in Cooking)",1.6,3.73,0.22,19
"White Potatoes (Flesh and Skin, Baked)",2.1,21.08,0.15,94
Oyster Mushroom,3.34,6.43,0.44,35
Cherub Tomatoes,1,10,1,50
Green Peppers,0.86,4.64,0.17,20
Dill Cucumber Pickles,0.62,4.12,0.19,18
"Jalapeno Peppers (Solids and Liquids, Canned)",0.92,4.74,0.94,27
"Mixed Vegetables (Solids and Liquids, Canned)",1.42,7.12,0.25,36
Cooked Broccoli (Fat Not Added in Cooking),2.37,7.14,0.41,35
Sweet Red Peppers,0.99,6.03,0.3,26
Hawaiian Style Pickled Radishes,1.1,5.2,0.3,28
"Yam (with Salt, Drained, Cooked, Boiled)",1.49,27.58,0.14,116
Cooked Brussels Sprouts,2.47,6.91,2.77,55
Yellow Sweet Corn,3.22,19.02,1.18,86
Cooked Turnip (Canned),0.69,4.94,2.37,42
Minced Garlic,6.33,33,0.67,133
Cooked Kale (from Fresh),1.83,5.47,3.12,51
Yellow Sweet Peppers,1,6.32,0.21,27
Green Hot Chili Peppers,2,9.46,0.2,40
White Icicle Radishes,1.1,2.63,0.1,14
"Soybeans (Mature Seeds, with Salt, Cooked, Boiled)",16.64,9.93,8.97,173
Baby Brussels Sprouts & Butter Sauce,3,8,1.5,50
Baby-Cut Carrots Mini Bags,1,6,0,25
Baked Potato Stuffed with Sour Cream (Peel Eaten),2.6,16.57,6.78,134
Baby Spinach,2.86,3.63,0.39,23
Baby Zucchini,2.71,3.11,0.4,21
Artichoke Hearts in Oil,3.19,10.26,8.4,119
Cabbage,1.44,5.58,0.12,24
Butternut Winter Squash,1,11.69,0.1,45
Garlic Powder,16.8,72.71,0.76,332
Cauliflower (Frozen),2.01,4.68,0.27,24
Green Peas (Frozen),5.21,13.71,0.37,77
Leeks,1.5,14.15,0.3,61
Baked Potato Stuffed with Cheese (Peel Eaten),4.61,18.79,5.36,139
"Green Peas (Drained Solids, Canned)",4.42,12.58,0.35,69
"Yam (Without Salt, Drained, Cooked, Boiled, Baked)",1.49,27.58,0.14,116
Garlic,6.36,33.06,0.5,149
"Leeks (Bulb and Lower Leaf-Portion) (with Salt, Drained, Cooked, Boiled)",0.81,7.62,0.2,31
Pickled Eggplant,0.9,9.77,0.7,49
Okra,2,7.03,0.1,31
Spaghetti Winter Squash,0.64,6.91,0.57,31
Turnips,0.9,6.43,0.1,28
Cooked Beets (from Fresh),1.63,9.69,2.28,61
Acorn Winter Squash,0.8,10.42,0.1,40
Dill Cucumber Pickles (Low Sodium),0.62,4.13,0.19,18
Red Cabbage,1.43,7.37,0.16,31
Sour Cucumber Pickle,0.33,2.26,0.2,11
"Yellow Sweet Corn (Kernels On Cob, with Salt, Frozen, Drained, Cooked, Boiled)",3.11,22.33,0.74,93
Young Green Onions,1.83,7.34,0.19,32
Broccoli Raab,3.17,2.85,0.49,22
"Pumpkin (with Salt, Canned)",1.1,8.09,0.28,34
Green Leaf Lettuce,1.36,2.79,0.15,15
Roasted Potato,2.32,20.06,7,149
Cooked Pumpkin,1.08,7.94,1.75,46
Artichokes (Globe or French),3.27,10.51,0.15,47
Mashed Potato (from Fresh),2.11,13.22,6.96,122
Cooked Pumpkin (from Canned),1.08,7.94,1.75,46
Mashed Potatoes (Whole Milk Added),1.92,17.53,0.57,83
Cherry Tomatoes,0.88,3.92,0.2,18
Cauliflower,1.98,5.3,0.1,25
Cooked Leek,1.51,14.24,4,94
Cooked Okra,1.92,5.08,2.32,43
Baked Potato (Peel Eaten),2.43,20.53,2.2,109
Baked Potato (Peel Not Eaten),1.95,21.39,0.1,92
"Mushrooms (Drained Solids, Canned)",1.87,5.09,0.29,25
Italian Cherry Tomatoes,1,6,0,30
Mature Red Chili Hot Peppers (Canned),0.9,3.9,0.6,21
Cooked Green Peas (Canned),4.31,12.29,2.46,86
Yellow Summer Squash,1.21,3.35,0.18,16
Cooked Spinach (from Fresh),2.88,3.68,2.25,40
Sweet Onions,0.8,7.55,0.08,32
Cooked Kale (from Canned),1.83,5.47,3.12,51
Stuffed Green Olives,1.04,4.02,13.22,128
Green Cabbage,1.44,5.58,0.12,24
Zucchini (Frozen),1.16,3.59,0.13,17
"Yellow Sweet Corn (Whole Kernel, Drained Solids, Canned)",2.62,18.59,1,81
Eggplant,1.01,5.7,0.19,24
Green Chili Peppers (Canned),0.72,4.6,0.27,21
Onions,0.92,10.11,0.08,42
"Sweet Potato (Without Skin, Cooked, Boiled)",1.37,17.72,0.14,76
"Cooked Cauliflower (from Fresh, Fat Not Added in Cooking)",1.83,4.08,0.45,23
Lettuce,1.23,3.28,0.3,17
"Sweet Potato (Mashed, Canned)",1.98,23.19,0.2,101
Spinach,3.94,4.33,0.75,31
Cooked Turnip,0.69,4.94,2.37,42
Carrots,0.64,8.24,0.13,35
Cooked Mixed Vegetables,2.78,12.74,2.12,81
Mushrooms,2.5,5.07,0.2,26
Mashed Potato,1.8,15.72,3.54,100
"Asparagus (Drained Solids, Canned)",2.14,2.46,0.65,19
Cucumber,0.65,3.63,0.11,15
Fried Okra,2.58,14.26,14.06,188
Green Olives,1.03,3.84,15.32,145
"Spinach (Drained Solids, Canned)",2.81,3.4,0.5,23
Sweet Potato,1.57,20.12,0.05,86
Red Tomatoes,0.88,3.92,0.2,18
Baked  Trout,24.37,0.41,9.16,188
Grilled Fish,22.6,0.28,1.18,109
Fish,17.76,0,0.92,84
Snapper,44.7,0,2.9,218
Pacific Red Snapper Fillet,21,0,2,110
Smoked Trout,37.04,0,11.79,264
Pink Salmon,19.94,0,3.45,116
Lobster,20.33,1.27,0.58,97
Shrimp,27.59,1.24,2.35,144
Chicken Soup,1.68,3.88,1.02,31
Tomato Soup,1.25,7.35,1.2,42
Vegetable Soup,1.72,9.78,1.58,59
Chicken Rice Soup,1.47,2.97,0.79,25
Beef Stock,0.35,0.33,0.08,3
Fish Broth,2,0.4,0.6,16
Chicken Chili,7.76,7.75,3.15,89
Beef Noodle Soup,1.98,3.68,1.26,34
Chicken Noodle Soup,1.32,3.07,0.99,27
Low Fat Milk,3.37,4.99,0.97,42
Sour Cream,3.16,4.27,20.96,214
Butter,0.85,0.06,81.11,717
Cream Cheese,7.55,2.66,34.87,349
Whole Milk,3.22,4.52,3.25,60
Mozzarella Cheese,25.96,3.83,20.03,302
Margarine,0.6,0,59.17,526
Light Cream,2.7,3.66,19.31,195
Lowfat Plain Yogurt,5.25,7.04,1.55,63
Buttermilk,4.1,5.3,2,56
Milk,3.29,4.71,2,50
Heavy Cream,2.05,2.79,37,345
Low Fat Half & Half,1,1,1.5,25
Vanilla Yogurt (Lowfat),4.93,13.8,1.25,85
Cheddar Cheese,24.9,1.28,33.14,403
Cheddar or Colby Cheese (Low Sodium),24.35,1.91,32.62,398
Swiss Cheese (Low Fat),28.4,3.4,5.1,179
Syrup,0,66.86,0.04,259
Tahini Sesame Butter Seeds,17.4,21.5,53.01,592
Traditional Hummus,2,3,6,70
Honey,0.3,82.4,0,304
Brown Sugar,0,97.33,0,377
Oil and Vinegar Salad Dressing (Home Recipe),0,2.5,50.1,449
Honey,0,17,0,60
White Sugar,0,99.98,0,387
Mayonnaise (Low Calorie),0.9,23.9,19,263
Extra Virgin Olive Oil,0,0,14,120
Chutney,1.33,36.85,0.29,149
Teriyaki Sauce,5.93,15.95,0,84
Hummus,4.86,20.12,8.59,177
Sunflower Oil,0,0,100,884
Smooth Peanut Butter (with Salt),25.09,19.56,50.39,588
Sesame Paste (Sesame Butter Made From Whole Seeds),17,21.19,53.76,595
Maple and Corn and/or Cane Pancake Syrup Blends,0,69.6,0.1,265
Bacon Ranch Salad Dressing,1,2,11,100
Garlic Pepper,0,0,0,0
Sea Salt,0,0,0,0
Peanut Butter,25.09,19.56,50.39,588
Teriyaki Sesame Ginger Barbeque Sauce,0,12,0,50
Chocolate Syrup,2.1,65.1,1.13,279
Equal Sweeteners (Aspartame) Packets,2.17,89.08,0,365
"Fructose Sweetener (Sugar Substitute, Dry Powder)",0,100,0,368
Soy Sauce (Shoyu),6.28,7.61,0.04,53
Spaghetti Sauce with Vegetables (Homemade-Style),1.55,7.39,2.17,49
Major Grey's Chutney,0,14,0,60
Hamburger Pickle Relish,0.63,34.48,0.54,129
Low Sodium Barbecue Sauce,1.8,12.8,1.8,75
Turkey Gravy (Canned),2.6,5.1,2.1,51
Roasted Red Pepper Hummus,2,5,4,60
Apple Cranberry Chutney,0,8,0,30
Ketchup (Low Sodium),1.74,27.86,0.38,107
Homemade-Style Spaghetti Sauce with Meat and Vegetables,8.2,5.64,6.38,110
Chunky Peanut Butter (with Salt),24.06,21.57,49.94,589
Red Salsa,0.68,3.83,0.14,17
Pancake Syrup,0,61.47,0,234
Horseradish Mustard,3.95,7.78,3.11,66
Italian Salad Dressing (Fat Free),0.97,8.75,0.87,47
"Tomato Chili Sauce (with Salt, Bottled)",2.5,19.79,0.3,104
Thick Crust Cheese Pizza,12.07,31.65,10.55,270
Deep Fried Potato French Fries (from Frozen),3.76,37.53,17.03,319
Hash Brown (from Frozen),3.14,27.93,11.43,217
Frankfurter or Hot Dog with Catsup and/or Mustard on Bun,9.75,21.76,15.8,270
"Meatless Taco or Tostada with Beans and Cheese, Lettuce, Tomato and Salsa",6.01,18.66,7.76,164
Enchilada with Beef,10.02,17.99,8.7,187
